ID,Formula,Val Score,DS1 Acc,DS1 Recall,DS1 Prec,DS1 F1,DS1 AUC,DS2 Acc,DS2 Recall,DS2 F1,DS2 AUC
Trial-431,0.95×AUC + 0.02×Recall + 0.04×F1 + 0.00×Acc,0.980298,0.9575,0.942,0.9721,0.9568,0.9932,0.977,0.976,0.977,0.9965
Trial-485,0.93×AUC + 0.02×Recall + 0.03×F1 + 0.02×Acc,0.979692,0.96,0.951,0.9684,0.9596,0.994,0.978,0.978,0.978,0.9965
Trial-422,0.92×AUC + 0.02×Recall + 0.04×F1 + 0.02×Acc,0.979129,0.962,0.952,0.9714,0.9616,0.9938,0.979,0.978,0.979,0.9966
Trial-266,0.93×AUC + 0.01×Recall + 0.04×F1 + 0.02×Acc,0.978647,0.961,0.955,0.9666,0.9608,0.9944,0.981,0.982,0.981,0.9963
Trial-461,0.91×AUC + 0.01×Recall + 0.04×F1 + 0.04×Acc,0.978627,0.9605,0.948,0.9723,0.96,0.9935,0.98,0.978,0.98,0.9966
Trial-484,0.92×AUC + 0.05×Recall + 0.03×F1 + 0.00×Acc,0.978337,0.961,0.951,0.9704,0.9606,0.9939,0.978,0.98,0.978,0.9968
Trial-439,0.91×AUC + 0.07×Recall + 0.01×F1 + 0.01×Acc,0.978122,0.962,0.954,0.9695,0.9617,0.9941,0.978,0.978,0.978,0.9966
Trial-447,0.91×AUC + 0.06×Recall + 0.00×F1 + 0.03×Acc,0.978013,0.9605,0.949,0.9713,0.96,0.9935,0.979,0.978,0.979,0.9967
Trial-288,0.94×AUC + 0.03×Recall + 0.01×F1 + 0.02×Acc,0.977992,0.957,0.954,0.9598,0.9569,0.9941,0.977,0.978,0.977,0.9957
Trial-339,0.89×AUC + 0.07×Recall + 0.00×F1 + 0.03×Acc,0.977547,0.962,0.953,0.9705,0.9617,0.9939,0.979,0.978,0.979,0.9965
